Date= qua 10 nov 2021 17:57:10 -03
Folder=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap
SubFolder=iedir/mT5-large-NoGAP-en-pt-es-fr-train
Gold File=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/ie_dirs/mT5-large-NoGAP-en-pt-es-fr-train/gold_mT5-large-NoGAP-en-pt-es-fr-train_en-pt-es-fr-eval.txt
Predict File=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/ie_dirs/mT5-large-NoGAP-en-pt-es-fr-train/predict_mT5-large-NoGAP-en-pt-es-fr-train_en-pt-es-fr-eval_1_true_1-step-step.txt
Database=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/data/spider-en-pt-es-fr/database
Type=match
Command example:
python3 evaluation.py --gold=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/ie_dirs/mT5-large-NoGAP-en-pt-es-fr-train/gold_mT5-large-NoGAP-en-pt-es-fr-train_en-pt-es-fr-eval.txt --pred=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/ie_dirs/mT5-large-NoGAP-en-pt-es-fr-train/predict_mT5-large-NoGAP-en-pt-es-fr-train_en-pt-es-fr-eval_1_true_1-step120300.txt --db=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/data/spider-en-pt-es-fr/database --table=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/data/spider-en-pt-es-fr/tables.json --etype match --plug_value |& tee /mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/ie_dirs/mT5-large-NoGAP-en-pt-es-fr-train/spider_eval_match_ratsqlgap-mT5-large-NoGAP-en-pt-es-fr-train_en-pt-es-fr-eval-step120300.txt
====================== EXACT MATCHING ACCURACY =====================
mT5-large-NoGAP-en-pt-es-fr-train - - - count 992 1784 696 664 4136
Train_Infer checkpoint type type easy medium hard extra all
mT5-large-NoGAP-en-pt-es-fr-train_en-pt-es-fr-eval 38500 exact match 0.825 0.664 0.507 0.413 0.636
mT5-large-NoGAP-en-pt-es-fr-train_en-pt-es-fr-eval 39500 exact match 0.846 0.699 0.510 0.413 0.656
mT5-large-NoGAP-en-pt-es-fr-train_en-pt-es-fr-eval 40500 exact match 0.838 0.676 0.507 0.392 0.641
mT5-large-NoGAP-en-pt-es-fr-train_en-pt-es-fr-eval 41500 exact match 0.817 0.669 0.494 0.375 0.628
mT5-large-NoGAP-en-pt-es-fr-train_en-pt-es-fr-eval 42500 exact match 0.835 0.686 0.454 0.366 0.631
mT5-large-NoGAP-en-pt-es-fr-train_en-pt-es-fr-eval 43500 exact match 0.844 0.714 0.503 0.411 0.661
mT5-large-NoGAP-en-pt-es-fr-train_en-pt-es-fr-eval 44500 exact match 0.844 0.705 0.499 0.324 0.642
mT5-large-NoGAP-en-pt-es-fr-train_en-pt-es-fr-eval 45500 exact match 0.841 0.680 0.511 0.398 0.645
mT5-large-NoGAP-en-pt-es-fr-train_en-pt-es-fr-eval 46500 exact match 0.814 0.664 0.523 0.383 0.631
mT5-large-NoGAP-en-pt-es-fr-train_en-pt-es-fr-eval 47500 exact match 0.841 0.691 0.516 0.372 0.646
mT5-large-NoGAP-en-pt-es-fr-train_en-pt-es-fr-eval 48500 exact match 0.829 0.709 0.529 0.369 0.653
mT5-large-NoGAP-en-pt-es-fr-train_en-pt-es-fr-eval 49500 exact match 0.818 0.639 0.529 0.395 0.624
mT5-large-NoGAP-en-pt-es-fr-train_en-pt-es-fr-eval 50500 exact match 0.845 0.699 0.496 0.351 0.644
mT5-large-NoGAP-en-pt-es-fr-train_en-pt-es-fr-eval 51500 exact match 0.839 0.690 0.511 0.361 0.643
