Date= qua 10 nov 2021 13:57:03 -03
Folder=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap
SubFolder=iedir/mT5-large-2048TKs-en-pt-es-fr
Gold File=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/ie_dirs/mT5-large-2048TKs-en-pt-es-fr/gold_mT5-large-2048TKs-en-pt-es-fr-train_en-pt-es-fr-eval.txt
Predict File=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/ie_dirs/mT5-large-2048TKs-en-pt-es-fr/predict_mT5-large-2048TKs-en-pt-es-fr-train_en-pt-es-fr-eval_1_true_1-step-step.txt
Database=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/data/spider-en-pt-es-fr/database
Type=match
Command example:
python3 evaluation.py --gold=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/ie_dirs/mT5-large-2048TKs-en-pt-es-fr/gold_mT5-large-2048TKs-en-pt-es-fr-train_en-pt-es-fr-eval.txt --pred=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/ie_dirs/mT5-large-2048TKs-en-pt-es-fr/predict_mT5-large-2048TKs-en-pt-es-fr-train_en-pt-es-fr-eval_1_true_1-step480100.txt --db=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/data/spider-en-pt-es-fr/database --table=/mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/data/spider-en-pt-es-fr/tables.json --etype match --plug_value |& tee /mnt/Files/nl2sql/gap-text2sql/rat-sql-gap/ie_dirs/mT5-large-2048TKs-en-pt-es-fr/spider_eval_match_ratsqlgap-mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval-step480100.txt
====================== EXACT MATCHING ACCURACY =====================
mT5-large-2048TKs-en-pt-es-fr - - - count 992 1784 696 664 4136
Train_Infer checkpoint type type easy medium hard extra all
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 80100 exact match 0.652 0.410 0.208 0.140 0.391
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 90100 exact match 0.709 0.500 0.253 0.178 0.457
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 100100 exact match 0.722 0.548 0.326 0.288 0.510
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 110100 exact match 0.767 0.589 0.353 0.306 0.547
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 120100 exact match 0.783 0.602 0.364 0.321 0.560
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 130100 exact match 0.794 0.641 0.464 0.370 0.604
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 140100 exact match 0.808 0.641 0.399 0.372 0.597
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 150100 exact match 0.781 0.647 0.440 0.405 0.605
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 160100 exact match 0.794 0.667 0.480 0.390 0.622
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 170100 exact match 0.797 0.635 0.477 0.384 0.607
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 180100 exact match 0.806 0.661 0.519 0.383 0.627
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 190100 exact match 0.795 0.668 0.435 0.366 0.611
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 200100 exact match 0.800 0.627 0.471 0.396 0.605
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 210100 exact match 0.832 0.670 0.503 0.392 0.636
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 220100 exact match 0.830 0.644 0.529 0.444 0.637
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 230100 exact match 0.807 0.658 0.490 0.393 0.623
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 240100 exact match 0.837 0.662 0.504 0.419 0.638
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 250100 exact match 0.829 0.654 0.499 0.370 0.624
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 260100 exact match 0.820 0.637 0.509 0.408 0.622
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 270100 exact match 0.826 0.661 0.562 0.402 0.642
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 280100 exact match 0.808 0.641 0.493 0.434 0.623
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 290100 exact match 0.815 0.691 0.500 0.453 0.650
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 300100 exact match 0.815 0.664 0.530 0.435 0.641
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 310100 exact match 0.816 0.667 0.507 0.441 0.640
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 320100 exact match 0.801 0.650 0.539 0.423 0.631
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 330100 exact match 0.804 0.640 0.497 0.410 0.618
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 340100 exact match 0.805 0.665 0.533 0.395 0.633
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 350100 exact match 0.818 0.654 0.533 0.422 0.636
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 360100 exact match 0.839 0.684 0.517 0.402 0.648
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 370100 exact match 0.802 0.674 0.513 0.387 0.632
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 380100 exact match 0.791 0.649 0.503 0.389 0.617
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 390100 exact match 0.840 0.669 0.542 0.405 0.646
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 400100 exact match 0.802 0.636 0.491 0.434 0.619
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 410100 exact match 0.812 0.665 0.519 0.364 0.627
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 420100 exact match 0.820 0.652 0.506 0.387 0.625
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 430100 exact match 0.818 0.649 0.534 0.386 0.628
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 440100 exact match 0.801 0.679 0.537 0.408 0.641
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 450100 exact match 0.808 0.676 0.530 0.380 0.636
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 460100 exact match 0.826 0.667 0.517 0.393 0.636
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 470100 exact match 0.821 0.679 0.524 0.410 0.644
mT5-large-2048TKs-en-pt-es-fr_en-pt-es-fr-eval 480100 exact match 0.811 0.677 0.539 0.402 0.642
